State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Crop_Yield
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100,152800,0.557460781
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400,243900,0.806547619
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Bajra,310600,178300,0.574050225
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Bajra,326100,187300,0.574363692
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Bajra,194400,82000,0.4218107
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Bajra,218400,158900,0.727564103
Maharashtra,AHMEDNAGAR,2003,Kharif     ,Bajra,204100,70800,0.34688878
Maharashtra,AHMEDNAGAR,2004,Kharif     ,Bajra,240500,143400,0.596257796
Maharashtra,AHMEDNAGAR,2005,Kharif     ,Bajra,217700,54800,0.251722554
Maharashtra,AHMEDNAGAR,2006,Kharif     ,Bajra,243900,148900,0.610496105
Maharashtra,AHMEDNAGAR,2007,Kharif     ,Bajra,2326,1741,0.748495271
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Bajra,128200,92400,0.72074883
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Bajra,190700,115400,0.605138962
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Bajra,196000,186800,0.953061224
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Bajra,184700,179500,0.971846237
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Bajra,160500,55400,0.34517134
Maharashtra,AHMEDNAGAR,2013,Kharif     ,Bajra,181800,188200,1.03520352
Maharashtra,AHMEDNAGAR,2014,Kharif     ,Bajra,186000,107700,0.579032258
Maharashtra,AKOLA,1997,Kharif     ,Bajra,5600,2400,0.428571429
Maharashtra,AKOLA,1998,Kharif     ,Bajra,5600,2900,0.517857143
Maharashtra,AKOLA,1999,Kharif     ,Bajra,2300,1200,0.52173913
Maharashtra,AKOLA,2000,Kharif     ,Bajra,2500,1500,0.6
Maharashtra,AKOLA,2001,Kharif     ,Bajra,2300,800,0.347826087
Maharashtra,AKOLA,2002,Kharif     ,Bajra,2400,1600,0.666666667
Maharashtra,AKOLA,2003,Kharif     ,Bajra,1900,900,0.473684211
Maharashtra,AKOLA,2004,Kharif     ,Bajra,1400,600,0.428571429
Maharashtra,AKOLA,2005,Kharif     ,Bajra,1400,700,0.5
Maharashtra,AKOLA,2006,Kharif     ,Bajra,1100,600,0.545454545
Maharashtra,AKOLA,2007,Kharif     ,Bajra,9,5,0.555555556
Maharashtra,AKOLA,2008,Kharif     ,Bajra,900,500,0.555555556
Maharashtra,AKOLA,2009,Kharif     ,Bajra,600,400,0.666666667
Maharashtra,AKOLA,2010,Kharif     ,Bajra,600,300,0.5
Maharashtra,AKOLA,2011,Kharif     ,Bajra,500,300,0.6
Maharashtra,AKOLA,2012,Kharif     ,Bajra,500,300,0.6
Maharashtra,AKOLA,2013,Kharif     ,Bajra,200,100,0.5
Maharashtra,AKOLA,2014,Kharif     ,Bajra,300,100,0.333333333
Maharashtra,AMRAVATI,1997,Kharif     ,Bajra,1700,700,0.411764706
Maharashtra,AMRAVATI,1998,Kharif     ,Bajra,1900,1000,0.526315789
Maharashtra,AMRAVATI,1999,Kharif     ,Bajra,1000,500,0.5
Maharashtra,AMRAVATI,2000,Kharif     ,Bajra,900,500,0.555555556
Maharashtra,AMRAVATI,2001,Kharif     ,Bajra,1000,400,0.4
Maharashtra,AMRAVATI,2002,Kharif     ,Bajra,800,500,0.625
Maharashtra,AMRAVATI,2003,Kharif     ,Bajra,800,400,0.5
Maharashtra,AMRAVATI,2004,Kharif     ,Bajra,700,400,0.571428571
Maharashtra,AMRAVATI,2005,Kharif     ,Bajra,300,100,0.333333333
Maharashtra,AMRAVATI,2006,Kharif     ,Bajra,200,100,0.5
Maharashtra,AMRAVATI,2007,Kharif     ,Bajra,2,1,0.5
Maharashtra,AMRAVATI,2008,Kharif     ,Bajra,300,200,0.666666667
Maharashtra,AMRAVATI,2009,Kharif     ,Bajra,200,200,1
Maharashtra,AMRAVATI,2010,Kharif     ,Bajra,300,200,0.666666667
